Wilayah;Tahun;Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan);Garis Kemiskinan Non Makanan (Rupiah/Kapita/Bulan);Jumlah Penduduk Miskin (Ribu Jiwa);Persentase Masyarakat Miskin;Gini Rasio
NUSA TENGGARA BARAT;2018;275124;90777;737.46;14.75;0.372
NUSA TENGGARA TIMUR;2018;278911;75987;1142.17;21.35;0.351
KALIMANTAN BARAT;2018;321481;87805;387.08;7.77;0.339
KALIMANTAN TENGAH;2018;328127;85401;136.93;5.17;0.342
KALIMANTAN SELATAN;2018;302854;124920;189.03;4.54;0.344
KALIMANTAN TIMUR;2018;405108;169596;218.9;6.03;0.342
KALIMANTAN UTARA;2018;423796;162252;50.35;7.09;0.303
SULAWESI UTARA;2018;265096;79322;193.31;7.8;0.394
SULAWESI TENGAH;2018;313190;100595;420.21;14.01;0.346
SULAWESI SELATAN;2018;229289;77256;792.63;9.06;0.397
SULAWESI TENGGARA;2018;226889;76729;307.1;11.63;0.409
GORONTALO;2018;245508;70788;198.51;16.81;0.403
SULAWESI BARAT;2018;249788;69333;151.78;11.25;0.37
MALUKU;2018;348099;108357;320.08;18.12;0.343
MALUKU UTARA;2018;323639;88628;81.46;6.64;0.328
PAPUA BARAT;2018;398435;117927;214.47;23.01;0.394
PAPUA;2018;374752;124711;917.63;27.74;0.384
INDONESIA;2018;294806;106414;25949.8;9.82;0.389
ACEH;2017;330958.33;104496;872.61;16.89;0.32878
SUMATERA UTARA;2017;314243.1;97102;1453.87;10.22;0.31498
SUMATERA BARAT;2017;346896.34;106715;364.51;6.87;0.31802
RIAU;2017;335922.13;120571;514.62;7.78;0.32493
JAMBI;2017;301576.33;88019;286.55;8.19;0.33523
SUMATERA SELATAN;2017;279284.44;90775;1086.92;13.19;0.36139
BENGKULU;2017;343868.51;106779;316.98;16.45;0.35099
LAMPUNG;2017;289705.73;95176;1131.73;13.69;0.33433
KEP. BANGKA BELITUNG;2017;424845.04;162685;74.09;5.20;0.28169
KEP. RIAU;2017;346267.42;166969;125.37;6.06;0.33438
DKI JAKARTA;2017;347382.93;189163;389.69;3.77;0.41277
JAWA BARAT;2017;248505.46;95922;4168.44;8.71;0.40304
JAWA TENGAH;2017;244606.4;88618;4450.72;13.01;0.36545
DI YOGYAKARTA;2017;267500.63;106508;488.53;13.02;0.43201
JAWA TIMUR;2017;250804.58;91287;4617.01;11.77;0.3963
BANTEN;2017;272551.53;114201;675.04;5.45;0.38245
BALI;2017;249883.56;111504;180.13;4.25;0.38421
NUSA TENGGARA BARAT;2017;257263.29;88078;793.78;16.07;0.37106
NUSA TENGGARA TIMUR;2017;272537.49;70859;1150.79;21.85;0.35886
KALIMANTAN BARAT;2017;297455.38;79764;387.43;7.88;0.32736
KALIMANTAN TENGAH;2017;320636.54;80900;139.16;5.37;0.34255
KALIMANTAN SELATAN;2017;287959.87;114464;193.92;4.73;0.34669
KALIMANTAN TIMUR;2017;389151.78;158943;220.17;6.19;0.33035
KALIMANTAN UTARA;2017;398122.7;153917;49.47;7.22;0.30833
SULAWESI UTARA;2017;257489.3;76021;198.88;8.10;0.39593
SULAWESI TENGAH;2017;297375.78;94388;417.87;14.14;0.35546
SULAWESI SELATAN;2017;211452.03;72009;813.07;9.38;0.40709
SULAWESI TENGGARA;2017;215619.58;69990;331.71;12.81;0.39368
GORONTALO;2017;229465.58;67265;205.37;17.65;0.42965
SULAWESI BARAT;2017;239358.77;63493;149.76;11.30;0.35387
MALUKU;2017;333356.84;103508;320.51;18.45;0.34294
MALUKU UTARA;2017;306642.38;84356;76.47;6.35;0.31724
PAPUA BARAT;2017;389400.29;110377;228.38;25.10;0.38974
PAPUA;2017;344637.05;112904;897.69;27.62;0.39681
INDONESIA;2017;274544.38;99933;27771.22;10.64;0.39261
ACEH;2016;312801;98155;848.44;16.73;0.333
SUMATERA UTARA;2016;296832;91324;1455.95;10.35;0.319
SUMATERA BARAT;2016;326993;98148;371.56;7.09;0.331
RIAU;2016;312352;113648;515.4;7.98;0.347
JAMBI;2016;284973;86903;289.8;8.41;0.349
SUMATERA SELATAN;2016;269320;82664;1101.19;13.54;0.348
BENGKULU;2016;324851;91576;328.61;17.32;0.357
LAMPUNG;2016;274437;90485;1169.6;14.29;0.364
KEP. BANGKA BELITUNG;2016;388454;145776;72.76;5.22;0.275
KEP. RIAU;2016;330442;159715;120.41;5.98;0.354
DKI JAKARTA;2016;329644;180715;384.3;3.75;0.411
JAWA BARAT;2016;234108;90884;4224.33;8.95;0.413
JAWA TENGAH;2016;231673;85675;4506.89;13.27;0.366
DI YOGYAKARTA;2016;252284;101800;494.94;13.34;0.42
JAWA TIMUR;2016;236455;85307;4703.3;12.05;0.402
BANTEN;2016;261057;106892;658.11;5.42;0.394
BALI;2016;234393;104574;178.18;4.25;0.366
NUSA TENGGARA BARAT;2016;250371;83624;804.44;16.48;0.359
NUSA TENGGARA TIMUR;2016;256245;66702;1149.92;22.19;0.336
KALIMANTAN BARAT;2016;275121;72760;381.35;7.87;0.341
KALIMANTAN TENGAH;2016;299485;73999;143.49;5.66;0.33
KALIMANTAN SELATAN;2016;270862;106618;195.7;4.85;0.332
KALIMANTAN TIMUR;2016;363918;147287;212.92;6.11;0.315
KALIMANTAN UTARA;2016;367944;145670;41.12;6.23;0.3
SULAWESI UTARA;2016;246007;71471;202.82;8.34;0.386
SULAWESI TENGAH;2016;289910;85749;420.52;14.45;0.362
SULAWESI SELATAN;2016;203918;66683;807.03;9.40;0.426
SULAWESI TENGGARA;2016;210619;66669;326.86;12.88;0.402
GORONTALO;2016;219469;64764;203.19;17.72;0.419
SULAWESI BARAT;2016;227208;59632;152.73;11.74;0.364
MALUKU;2016;318165;96137;327.72;19.18;0.348
MALUKU UTARA;2016;295078;81476;74.68;6.33;0.286
PAPUA BARAT;2016;372548;102419;225.8;25.43;0.373
PAPUA;2016;321910;105265;911.33;28.54;0.39
INDONESIA;2016;260469;93917;28005.39;10.86;0.397
ACEH;2015;296406;93744;851.59;17.08;0.334
SUMATERA UTARA;2015;263932;84021;1463.67;10.53;0.336
SUMATERA BARAT;2015;291641;92637;379.61;7.31;0.342
RIAU;2015;293851;105361;531.39;8.42;0.364
JAMBI;2015;262791;81144;300.71;8.86;0.361
SUMATERA SELATAN;2015;250850;76055;1145.63;14.25;0.36
BENGKULU;2015;298505;81523;334.07;17.88;0.376
LAMPUNG;2015;253869;84127;1163.49;14.35;0.376
KEP. BANGKA BELITUNG;2015;353260;135441;74.09;5.40;0.283
KEP. RIAU;2015;301870;146782;122.4;6.24;0.364
DKI JAKARTA;2015;319595;167793;398.92;3.93;0.431
JAWA BARAT;2015;219290;87586;4435.7;9.53;0.415
JAWA TENGAH;2015;216823;81028;4577.04;13.58;0.382
DI YOGYAKARTA;2015;237473;98413;550.23;14.91;0.433
JAWA TIMUR;2015;223641;81530;4789.12;12.34;0.415
BANTEN;2015;237129;99354;702.4;5.90;0.401
BALI;2015;221931;99903;196.71;4.74;0.377
NUSA TENGGARA BARAT;2015;235036;79202;823.89;17.10;0.368
NUSA TENGGARA TIMUR;2015;238070;59793;1159.84;22.61;0.339
KALIMANTAN BARAT;2015;255104;68511;383.7;8.03;0.334
KALIMANTAN TENGAH;2015;281506;68220;147.7;5.94;0.326
KALIMANTAN SELATAN;2015;244281;97068;198.44;4.99;0.353
KALIMANTAN TIMUR;2015;336356;137353;212.89;6.23;0.316
KALIMANTAN UTARA;2015;341484;134137;39.69;6.24;0.294
SULAWESI UTARA;2015;230475;64890;208.54;8.65;0.368
SULAWESI TENGAH;2015;258520;79923;421.62;14.66;0.374
SULAWESI SELATAN;2015;187304;61087;797.72;9.39;0.424
SULAWESI TENGGARA;2015;194409;63144;321.88;12.90;0.399
GORONTALO;2015;202433;61220;206.84;18.32;0.42
SULAWESI BARAT;2015;208787;53095;160.48;12.40;0.363
MALUKU;2015;306768;92864;328.41;19.51;0.34
MALUKU UTARA;2015;275361;68726;79.9;6.84;0.28
PAPUA BARAT;2015;346975;94594;225.36;25.82;0.44
PAPUA;2015;302807;99224;859.15;28.17;0.421
INDONESIA;2015;242241;88535;28592.79;11.22;0.408
