           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";364725;BANTEN
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";298945;BALI
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";302545;"NUSA TENGGARA BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";316130;"NUSA TENGGARA TIMUR"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";361075;"KALIMANTAN BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";382954;"KALIMANTAN TENGAH"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";355813;"KALIMANTAN SELATAN"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";463823;"KALIMANTAN TIMUR"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";499050;"KALIMANTAN UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";301032;"SULAWESI UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";363287;"SULAWESI TENGAH"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";263690;"SULAWESI SELATAN"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";268511;"SULAWESI TENGGARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";287272;GORONTALO
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";270655;"SULAWESI BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";419778;MALUKU
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";358264;"MALUKU UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";463545;"PAPUA BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";423243;PAPUA
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";335793;INDONESIA
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";370093;ACEH
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";351215;"SUMATERA UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";382333;"SUMATERA BARAT"
