           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2020;"Semester 1 (Maret)";318.18;MALUKU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2020;"Semester 1 (Maret)";86.37;"MALUKU UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2020;"Semester 1 (Maret)";208.58;"PAPUA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2020;"Semester 1 (Maret)";911.37;PAPUA
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2020;"Semester 1 (Maret)";26424.02;INDONESIA
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";819.44;ACEH
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";1282.04;"SUMATERA UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";348.22;"SUMATERA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";490.72;RIAU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";274.32;JAMBI
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";1073.74;"SUMATERA SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";302.3;BENGKULU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";1063.66;LAMPUNG
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";68.38;"KEP. BANGKA BELITUNG"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";128.46;"KEP. RIAU"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";365.55;"DKI JAKARTA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";3399.16;"JAWA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";3743.23;"JAWA TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";448.47;"DI YOGYAKARTA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2019;"Semester 1 (Maret)";4112.25;"JAWA TIMUR"
